Run,in:levels,in:shift,in:levelfraction,in:floorthickness,in:fractionextension,in:wallrvalue,in:roofrvalue,in:floortype,in:shadingenergy,in:shadingmateriallighting,in:InfiltrationAch,in:glazingtype,in:ceilingmaterial,in:hvacheating_type,in:hvachotwater,in:hvacecon,in:hvacheatrecovery,in:buildinglpd,in:hvaccold,out:EUI,out:CO2,out:Cost,out:Area,out:dgp,out:udi,img:udi,img:DGP,img:floor
24,2,1,1,0.15,1.25,W3,R3,F1,1,Sunvision Ecru,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,2,1,1,0,1.3,1,125.96,74.57,20.56,268.95,13.80395;0.749651,410.5,Iterator24_Parallel.png,Iterator24_Parallel.png,Iterator24.png
25,2,0,1,0.2,1.1,W3,R0,F2,None,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,3,0,1,0.75,1.3,2,117.82,75.76,21.82,268.95,14.277142;0.745912,505.56,Iterator25_Parallel.png,Iterator25_Parallel.png,Iterator25.png
26,4,0,2,0.3,1.1,W2,R0,F2,None,Golden low-E fabric WBI2W,3,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,3,1,0,0,2,2,117.16,75.33,21.7,356.35,1.72668;3.41144;0.8254;1.415867,263.27,Iterator26_Parallel.png,Iterator26_Parallel.png,Iterator26.png
27,4,1,3,0.2,1.25,W2,R2,F1,None,Sunvision Ecru,3,Vistacool on Pacifica - Clear (Krypton),White Ceiling,3,0,0,0.75,2,2,114.61,73.69,21.23,302.56,0.156502;2.387322;5.470169;2.215173,368.37,Iterator27_Parallel.png,Iterator27_Parallel.png,Iterator27.png
28,4,1,2,0.15,1,W1,R0,F2,1,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,1,1,1,0,0.98,1,142.44,79.36,21.1,336.18,1.114727;0.047634;5.042235;0.411861,238.73,Iterator28_Parallel.png,Iterator28_Parallel.png,Iterator28.png
29,2,0,2,0.2,1.25,W2,R2,F2,None,Golden low-E fabric WBI2W,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,0,1,1,0,0.98,2,119.79,74.48,21.09,218.52,4.032217;3.185651,448.28,Iterator29_Parallel.png,Iterator29_Parallel.png,Iterator29.png
30,2,0,1,0.3,1.25,W0,R0,F1,None,Sunvision Ecru,1.5,DoublePaneLoEe2,Ceiling LM83,1,1,0,0.75,1.3,1,147.71,80.99,21.31,268.95,14.22044;0.740389,506.57,Iterator30_Parallel.png,Iterator30_Parallel.png,Iterator30.png
31,2,0,3,0.15,1.25,W2,R1,F1,None,Sunvision Ecru,1.5,DoublePaneLoEe2,Black Ceiling,0,0,0,0.75,1.3,1,139.95,78.59,21,190.5,5.427453;7.748162,578.34,Iterator31_Parallel.png,Iterator31_Parallel.png,Iterator31.png
32,4,0,2,0.3,1,W3,R2,F1,1,Sunvision Ecru,1.5,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,2,0,1,0,1.3,2,113.54,73.01,21.03,336.18,0.801851;2.827438;0.448695;0.584109,218.99,Iterator32_Parallel.png,Iterator32_Parallel.png,Iterator32.png
33,3,0,1,0.3,1.25,W0,R2,F2,1,Golden low-E fabric WBI2W,3,Vistacool on Pacifica - Clear (Krypton),White Ceiling,1,0,0,0,2,0,152.57,82.49,21.51,403.42,6.136393;1.494515;0.6334,299.22,Iterator33_Parallel.png,Iterator33_Parallel.png,Iterator33.png
34,2,1,2,0.15,1.1,W3,R3,F2,None,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),Black Ceiling,0,1,0,0,1.3,3,121.5,74.52,20.95,208.43,3.723733;8.762496,499.41,Iterator34_Parallel.png,Iterator34_Parallel.png,Iterator34.png
35,4,0,3,0.15,1.25,W2,R0,F2,None,Golden low-E fabric WBI2W,1.5,DoublePaneLoEe2,White Ceiling,2,0,0,0,2,1,133.52,77.6,21.16,302.56,1.505067;4.100962;0.626716;1.180112,278.66,Iterator35_Parallel.png,Iterator35_Parallel.png,Iterator35.png
36,4,0,3,0.3,1.25,W0,R3,F2,1,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,2,1,0,0,1.3,3,114.77,73.79,21.26,302.56,1.377318;6.441459;0.802488;1.166201,238.76,Iterator36_Parallel.png,Iterator36_Parallel.png,Iterator36.png
37,2,0,3,0.15,1,W3,R1,F1,1,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,0,1,0,2,3,122.35,74.82,21,179.3,5.822121;4.048052,669.01,Iterator37_Parallel.png,Iterator37_Parallel.png,Iterator37.png
38,3,0,2,0.3,1,W2,R0,F1,1,Golden low-E fabric WBI2W,3,Vistacool on Pacifica - Clear (Krypton),White Ceiling,1,1,0,0,1.3,1,148.19,81.14,21.33,268.95,2.348401;0.571202;1.848259,354.31,Iterator38_Parallel.png,Iterator38_Parallel.png,Iterator38.png
39,4,0,3,0.15,1.25,W1,R2,F1,None,Sunvision Ecru,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,0,0,0,0,1.3,3,115.5,72.43,20.6,302.56,1.49408;7.298353;0.85204;1.238267,336.72,Iterator39_Parallel.png,Iterator39_Parallel.png,Iterator39.png
40,2,0,3,0.3,1.25,W3,R1,F1,1,Sunvision Ecru,1.5,DoublePaneLoEe2,White Ceiling,0,1,0,0.75,0.98,1,139.85,78.56,20.99,190.5,5.598539;7.732091,735.87,Iterator40_Parallel.png,Iterator40_Parallel.png,Iterator40.png
41,3,1,2,0.15,1.25,W2,R2,F1,None,Golden low-E fabric WBI2W,1.5,DoublePaneLoEe2,Ceiling LM83,2,1,1,0.75,0.98,2,113.86,73.21,21.09,302.56,5.851607;4.978306;3.636835;4.829706,494.41,Iterator41_Parallel.png,Iterator41_Parallel.png,Iterator41.png
42,2,0,2,0.2,1.1,W1,R1,F2,None,Sunvision Ecru,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,2,0,0,0,0.98,0,142.06,79.75,21.3,208.43,5.060378;5.468051,543.59,Iterator42_Parallel.png,Iterator42_Parallel.png,Iterator42.png
43,4,0,3,0.3,1.25,W3,R0,F1,None,Golden low-E fabric WBI2W,0.1,DoublePaneLoEe2,Black Ceiling,3,1,1,0,2,0,154.22,84.44,22.2,302.56,1.384856;3.571751;0.572991;1.099673,189.72,Iterator43_Parallel.png,Iterator43_Parallel.png,Iterator43.png
44,2,1,2,0.15,1.25,W3,R3,F2,None,Sunvision Ecru,1.5,DoublePaneLoEe2,Ceiling LM83,2,0,1,0.75,1.3,0,143.21,80.13,21.36,218.52,2.956342;8.609481,610.86,Iterator44_Parallel.png,Iterator44_Parallel.png,Iterator44.png
45,3,0,1,0.2,1,W3,R2,F1,1,Golden low-E fabric WBI2W,1.5,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,2,0,0,0,0.98,0,141.47,79.26,21.14,403.42,6.088176;1.656206;0.756112,299.33,Iterator45_Parallel.png,Iterator45_Parallel.png,Iterator45.png
46,4,1,3,0.2,1.25,W0,R0,F2,None,Sunvision Ecru,3,DoublePaneLoEe2,Black Ceiling,1,1,0,0,0.98,2,141.15,81.49,22.14,302.56,0.151226;2.34871;5.473064;2.199049,263.1,Iterator46_Parallel.png,Iterator46_Parallel.png,Iterator46.png
47,3,0,3,0.15,1.25,W0,R1,F2,1,Golden low-E fabric WBI2W,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,3,0,1,0.75,2,1,132.38,78.5,21.66,246.53,2.448003;0.92572;3.413035,441.98,Iterator47_Parallel.png,Iterator47_Parallel.png,Iterator47.png
48,2,1,3,0.15,1.25,W2,R0,F2,None,Sunvision Ecru,1.5,DoublePaneLoEe2,White Ceiling,2,0,0,0.75,0.98,3,117.26,75.4,21.72,190.5,3.909818;6.581582,648.74,Iterator48_Parallel.png,Iterator48_Parallel.png,Iterator48.png
49,4,1,2,0.15,1.25,W1,R0,F2,None,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),White Ceiling,2,0,0,0.75,1.3,1,131.36,76.78,21.01,386.61,6.169725;0.658307;16.884568;1.727679,538.99,Iterator49_Parallel.png,Iterator49_Parallel.png,Iterator49.png
50,2,0,3,0.2,1.1,W1,R0,F1,1,Golden low-E fabric WBI2W,1.5,DoublePaneLoEe2,White Ceiling,0,1,1,0.75,0.98,0,180.66,91.17,22.66,183.78,7.827663;6.39166,761.35,Iterator50_Parallel.png,Iterator50_Parallel.png,Iterator50.png
51,4,0,1,0.15,1.1,W3,R1,F2,1,Sunvision Ecru,1.5,Vistacool on Pacifica - Clear (Krypton),White Ceiling,3,0,0,0.75,2,1,126.42,74.64,20.54,537.89,0.036976;2.262232;0.108615;7.74186,220.29,Iterator51_Parallel.png,Iterator51_Parallel.png,Iterator51.png
52,3,0,2,0.15,1.25,W2,R3,F2,None,Golden low-E fabric WBI2W,3,Solarcool on Pacifica - Clear (Argon),White Ceiling,0,0,0,0,2,3,117.32,73.09,20.72,302.56,3.862655;0.634264;1.852541,367.27,Iterator52_Parallel.png,Iterator52_Parallel.png,Iterator52.png
53,4,1,2,0.2,1.1,W3,R1,F1,None,Sunvision Ecru,0.1,DoublePaneLoEe2,White Ceiling,1,0,1,0.75,2,3,114.52,72.37,20.66,356.35,0.548729;0.928376;8.631825;1.359367,381,Iterator53_Parallel.png,Iterator53_Parallel.png,Iterator53.png
54,3,0,2,0.15,1.1,W0,R0,F2,1,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Black Ceiling,3,1,1,0.75,1.3,0,155.13,85.79,22.7,282.39,3.335681;1.006246;2.617713,282.94,Iterator54_Parallel.png,Iterator54_Parallel.png,Iterator54.png
55,3,0,3,0.15,1.25,W0,R1,F2,1,Golden low-E fabric WBI2W,3,DoublePaneLoEe2,White Ceiling,3,0,0,0,0.98,0,150.46,84.07,22.39,246.53,2.463947;0.929776;3.425612,464.15,Iterator55_Parallel.png,Iterator55_Parallel.png,Iterator55.png
56,4,0,2,0.2,1,W0,R1,F2,None,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,1,0,1,0,2,1,141.02,78.92,21.04,336.18,0.770802;2.419885;0.376384;0.569127,225.79,Iterator56_Parallel.png,Iterator56_Parallel.png,Iterator56.png
57,2,0,2,0.3,1.25,W0,R2,F2,None,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),White Ceiling,2,0,0,0,1.3,3,115.31,74.14,21.36,218.52,5.333818;4.861631,584.78,Iterator57_Parallel.png,Iterator57_Parallel.png,Iterator57.png
58,2,1,1,0.15,1.25,W0,R3,F1,1,Sunvision Ecru,1.5,DoublePaneLoEe2,Black Ceiling,3,1,1,0.75,0.98,1,132.78,77.47,21.18,268.95,13.938637;0.746829,408.19,Iterator58_Parallel.png,Iterator58_Parallel.png,Iterator58.png
59,2,0,2,0.2,1,W1,R1,F2,None,Golden low-E fabric WBI2W,0.1,Vistacool on Pacifica - Clear (Krypton),White Ceiling,2,1,1,0.75,0.98,1,133.6,77.24,21,201.71,3.535094;3.244727,514.78,Iterator59_Parallel.png,Iterator59_Parallel.png,Iterator59.png
60,3,1,1,0.15,1.1,W2,R3,F2,None,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,1,1,0,0,0.98,2,115.44,73.08,20.89,403.42,7.049313;2.364212;0.826175,251.05,Iterator60_Parallel.png,Iterator60_Parallel.png,Iterator60.png
61,2,0,2,0.2,1.25,W0,R2,F2,None,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,0,0,1,0.75,2,0,169.53,87.73,22.21,218.52,5.268893;4.860342,456.51,Iterator61_Parallel.png,Iterator61_Parallel.png,Iterator61.png
62,4,1,1,0.15,1.25,W0,R0,F1,None,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,1,0,1,0,2,0,151.46,82.15,21.47,537.89,0.036176;2.219307;0.055501;5.867567,118.69,Iterator62_Parallel.png,Iterator62_Parallel.png,Iterator62.png
63,4,0,1,0.2,1,W0,R0,F1,None,Sunvision Ecru,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,2,0,0,0.75,1.3,1,128.84,75.75,20.8,537.89,0;2.184671;0.052627;7.1381,196.02,Iterator63_Parallel.png,Iterator63_Parallel.png,Iterator63.png
64,3,0,1,0.15,1,W0,R0,F2,None,Golden low-E fabric WBI2W,1.5,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,1,1,1,0,1.3,3,122.55,75.07,21.09,403.42,5.976575;1.722015;0.820527,232.54,Iterator64_Parallel.png,Iterator64_Parallel.png,Iterator64.png
65,4,0,3,0.15,1.25,W2,R2,F2,None,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,1,1,1,0.75,0.98,0,143.63,79.73,21.15,302.56,1.494882;4.103937;0.621877;1.181586,261.79,Iterator65_Parallel.png,Iterator65_Parallel.png,Iterator65.png
66,3,1,3,0.2,1.1,W3,R3,F1,None,Golden low-E fabric WBI2W,3,DoublePaneLoEe2,White Ceiling,3,0,1,0.75,1.3,2,115.28,74.12,21.35,233.09,1.439773;2.855387;3.580929,512.66,Iterator66_Parallel.png,Iterator66_Parallel.png,Iterator66.png
67,4,1,2,0.15,1,W3,R1,F1,1,Sunvision Ecru,0.1,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,1,1,0,0,2,2,117.43,73.91,21.06,336.18,1.06694;0.046881;4.949683;0.412196,167.34,Iterator67_Parallel.png,Iterator67_Parallel.png,Iterator67.png
