Run,in:levels,in:shift,in:levelfraction,in:floorthickness,in:fractionextension,in:wallrvalue,in:roofrvalue,in:floortype,in:shadingenergy,in:shadingmateriallighting,in:InfiltrationAch,in:glazingtype,in:ceilingmaterial,in:hvacheating_type,in:hvachotwater,in:hvacecon,in:hvacheatrecovery,in:buildinglpd,in:hvaccold,out:EUI,out:CO2,out:Cost,out:Area,out:dgp,out:udi,img:udi,img:DGP,img:floor
87,3,0,2,0.2,1.25,W3,R2,F1,1,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,3,1,1,0,2,3,111.27,71.55,20.61,302.56,3.644254;0.611487;1.709778,266.63,Iterator87_Parallel.png,Iterator87_Parallel.png,Iterator87.png
88,2,1,1,0.2,1.1,W1,R1,F1,1,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,0,0,0.75,2,2,119.01,74.26,21.07,268.95,14.226715;0.743937,506.91,Iterator88_Parallel.png,Iterator88_Parallel.png,Iterator88.png
89,2,0,3,0.3,1.25,W0,R3,F2,None,Sunvision Ecru,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,2,0,1,0.75,0.98,0,147.55,82.31,21.9,190.5,5.586882;7.736556,733.19,Iterator89_Parallel.png,Iterator89_Parallel.png,Iterator89.png
90,4,0,1,0.2,1,W2,R1,F2,None,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,1,0,0,1.3,0,140.19,78.67,21.01,537.89,0;2.356206;0.078251;7.177453,195.82,Iterator90_Parallel.png,Iterator90_Parallel.png,Iterator90.png
91,3,0,3,0.15,1,W1,R0,F2,None,Sunvision Ecru,0.1,Vistacool on Pacifica - Clear (Krypton),White Ceiling,2,0,1,0.75,2,3,116.43,74.86,21.57,224.12,2.600657;4.514908;0.488408,569.45,Iterator91_Parallel.png,Iterator91_Parallel.png,Iterator91.png
92,2,1,1,0.3,1.25,W1,R0,F1,1,Golden low-E fabric WBI2W,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,3,0,0,0,0.98,1,133.41,77.85,21.28,268.95,8.966905;0.741504,292.78,Iterator92_Parallel.png,Iterator92_Parallel.png,Iterator92.png
93,2,1,3,0.2,1.1,W3,R0,F2,None,Sunvision Ecru,3,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,3,0,1,0.75,1.3,2,122.57,78.81,22.7,183.78,4.05683;6.28807,471.12,Iterator93_Parallel.png,Iterator93_Parallel.png,Iterator93.png
94,4,1,1,0.15,1.1,W1,R0,F1,1,Golden low-E fabric WBI2W,1.5,DoublePaneLoEe2,White Ceiling,1,1,1,0,0.98,1,133.21,76.51,20.72,537.89,0.036176;2.323735;0.072789;5.604171,186.74,Iterator94_Parallel.png,Iterator94_Parallel.png,Iterator94.png
95,4,0,1,0.2,1,W0,R3,F1,1,Sunvision Ecru,0.1,Vistacool on Pacifica - Clear (Krypton),White Ceiling,2,1,0,0,0.98,0,143.16,79.97,21.3,537.89,0;2.355783;0.082938;7.352405,214.01,Iterator95_Parallel.png,Iterator95_Parallel.png,Iterator95.png
96,2,0,2,0.2,1.25,W1,R0,F2,None,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,2,1,1,0,0.98,2,117.66,75.65,21.79,218.52,3.894491;3.179056,446.82,Iterator96_Parallel.png,Iterator96_Parallel.png,Iterator96.png
97,4,0,3,0.2,1,W1,R1,F2,None,Golden low-E fabric WBI2W,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,1,1,0,1.3,2,121.01,74.9,21.16,268.95,1.494866;2.201311;2.826796;0.349559,418.58,Iterator97_Parallel.png,Iterator97_Parallel.png,Iterator97.png
98,3,0,2,0.2,1,W1,R2,F2,None,Golden low-E fabric WBI2W,3,DoublePaneLoEe2,Black Ceiling,2,0,0,0.75,2,1,125.61,74.59,20.6,268.95,2.227674;0.568562;1.903771,272.99,Iterator98_Parallel.png,Iterator98_Parallel.png,Iterator98.png
99,3,1,2,0.15,1.25,W2,R3,F1,None,Sunvision Ecru,3,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,3,0,0,0.75,2,1,129.36,75.88,20.8,302.56,10.040574;8.796254;4.315188;10.093732,529.91,Iterator99_Parallel.png,Iterator99_Parallel.png,Iterator99.png
100,4,0,1,0.15,1,W2,R3,F1,None,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,3,0,0,0.75,2,3,110.51,71.06,20.47,537.89,0.036951;2.113132;0.083367;5.751789,177.48,Iterator100_Parallel.png,Iterator100_Parallel.png,Iterator100.png
101,3,0,1,0.15,1.1,W2,R0,F1,1,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,2,1,0,0.75,2,2,114.32,73.51,21.18,403.42,5.942217;1.730829;0.819239,233.75,Iterator101_Parallel.png,Iterator101_Parallel.png,Iterator101.png
102,3,1,1,0.15,1.1,W3,R2,F1,None,Golden low-E fabric WBI2W,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,0,1,1,0,2,1,128.21,74.96,20.52,403.42,5.810538;1.712833;0.817052,230.99,Iterator102_Parallel.png,Iterator102_Parallel.png,Iterator102.png
103,2,0,2,0.15,1.1,W3,R0,F1,None,Golden low-E fabric WBI2W,1.5,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,2,0,1,0.75,1.3,0,158.67,85.63,22.31,208.43,3.528851;3.327873,410.63,Iterator103_Parallel.png,Iterator103_Parallel.png,Iterator103.png
104,2,1,1,0.3,1,W1,R0,F2,None,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Black Ceiling,3,1,0,0.75,1.3,1,135.28,78.47,21.38,268.95,8.932824;0.741791,294.23,Iterator104_Parallel.png,Iterator104_Parallel.png,Iterator104.png
105,3,0,1,0.3,1,W1,R0,F2,1,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,1,1,0,0,2,2,120.19,74.81,21.19,403.42,6.072752;1.482785;0.634434,282.29,Iterator105_Parallel.png,Iterator105_Parallel.png,Iterator105.png
106,2,0,2,0.2,1.25,W3,R0,F2,1,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),White Ceiling,3,0,1,0.75,0.98,0,158.33,86.04,22.51,218.52,5.307493;4.887515,584.05,Iterator106_Parallel.png,Iterator106_Parallel.png,Iterator106.png
107,2,1,3,0.3,1.1,W1,R0,F1,1,Golden low-E fabric WBI2W,1.5,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,1,0,1,0.75,1.3,2,137.84,81.22,22.33,183.78,3.385673;3.35866,488.49,Iterator107_Parallel.png,Iterator107_Parallel.png,Iterator107.png
